method,substeps,dt,scenario,delta,dtype,status,first_failure_time,completed_steps,completed_time,forward_seconds,diagnostic_wall_seconds,min_determinant,min_variance,nonfinite_modes,nonpositive_diagonals,uncertainty_violations,n_x,n_x_sem,heating_residual_x,n_y,n_y_sem,heating_residual_y,n_z,n_z_sem,heating_residual_z,comparison_time,trajectory_mean_rms,terminal_mean_rms,covariance_rms,covariance_max_abs,Vxx_max_abs,Vpp_max_abs,Cxp_max_abs,paired_n_x,paired_n_x_sem,paired_n_y,paired_n_y_sem,paired_n_z,paired_n_z_sem,role,reference_valid,reference_trajectory_mean_rms,reference_covariance_max_abs,trajectory_error_above_reference_floor,benchmark_status,bptt_duration,bptt_forward_seconds,backward_seconds,bptt_total_seconds,bptt_finite,peak_process_rss_bytes,peak_cuda_allocated_bytes
platen,128,7.8125e-05,no_feedback,0.01,float64,ok,,256000,20.0,180.00523507007165,505.2703848800156,2.401099147642501,1.5407779276573998,0,0,0,6.044136890369687,0.072756035686114,0.044136890369687265,6.014387046305717,0.06830446211749287,0.014387046305716744,6.042687272387173,0.07264590608298357,0.04268727238717318,20.0,0.0002174420899056454,0.00024259610652723918,5.281379460485115e-08,1.8852491212584255e-07,1.8852491212584255e-07,1.8711978722052436e-07,1.8724867434372072e-07,-2.2955281625684236e-05,8.679547836277334e-06,-9.085325911106414e-07,8.181458614800892e-06,2.5267658980779493e-06,2.241536021609532e-06,reference_halving_check,,,,,,,,,,,,
platen,256,3.90625e-05,no_feedback,0.01,float64,ok,,512000,20.0,355.24465650398633,793.6304682519985,2.4010991475145493,1.540777926336828,0,0,0,6.04415984565132,0.07275691385850327,0.04415984565132014,6.014387954838304,0.06830374262112775,0.014387954838303685,6.04268474562127,0.07264610299782724,0.042684745621270004,,,,,,,,,,,,,,,finer_reference,,,,,,,,,,,,
euler_maruyama,1,0.01,no_feedback,0.01,float64,nonfinite,11.4,1791,17.900000000000002,1.1680083198589273,198.95637960298336,-6.304320991423117e+116,,1280,3034880,5402880,-4.028408471007642e+252,,-4.028408471007642e+252,82.57799312249739,1.014169842630759,76.6829931224974,6.855773377025679,0.0813677822429838,0.9607733770256788,17.900000000000002,5.974403657223466e+125,2.5283800508520517e+127,,1.1537154559892e+256,1.1537154559892e+256,7.721530654168022e+255,9.438458168370534e+255,-4.028408471007642e+252,,76.68202190444805,0.9551950408552037,0.9050009341055144,0.011623695891863373,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
euler_maruyama,2,0.005,no_feedback,0.01,float64,ok,,4000,20.0,2.093857622734504,224.3373208590201,2.3499421440722617,1.3666471147003045,0,0,0,34.66393022272157,0.43277334645136684,28.663930222721568,25.198872058418956,0.30086276312226984,19.198872058418956,6.544149749740002,0.07897503755706489,0.5441497497400016,20.0,1.7800548136138918,3.629730995234651,0.05079527774404561,0.1820224703792972,0.1777965780992119,0.1820224703792972,0.17396108630233081,28.619793332351886,0.3639575676939879,19.184485012113228,0.23592796546640066,0.5014624773528312,0.00647177135487066,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
euler_maruyama,4,0.0025,no_feedback,0.01,float64,ok,,8000,20.0,3.5527165430248715,227.79644605499925,2.399502040557809,1.5304402746013628,0,0,0,14.060827191154623,0.17338954597395453,8.060827191154623,12.043315863470438,0.14096588649090872,6.043315863470438,6.287672023061398,0.07573470551755034,0.28767202306139783,20.0,0.7334962509422311,1.4122798852671887,0.013708341006042506,0.03971008197077097,0.03971008197077097,0.0395762174703691,0.036466207987444016,8.01669030078493,0.10235181860320601,6.028928817164724,0.0741601502967424,0.24498475067422973,0.0031576766477488757,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
euler_maruyama,8,0.00125,no_feedback,0.01,float64,ok,,16000,20.0,6.324709561973577,232.99801470598322,2.4006575931148886,1.5404585811090392,0,0,0,9.135093580755244,0.11153954162520907,3.1350935807552442,8.454068517049523,0.09760976842156466,2.4540685170495227,6.163805205465698,0.07417390180219027,0.16380520546569777,20.0,0.33508759012505074,0.627669043808427,0.00572963025484637,0.01884755664332971,0.01874199931332221,0.01884755664332971,0.01723445818527927,3.090956690385561,0.03957357367955733,2.4396814707438086,0.030004230967698258,0.12111793307852949,0.0015633745345681733,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
euler_maruyama,16,0.000625,no_feedback,0.01,float64,ok,,32000,20.0,12.420342841942329,245.48016480798833,2.400909575433971,1.5406190588282556,0,0,0,7.411293591834224,0.08991346431786487,1.411293591834224,7.117519651497471,0.08153746072817993,1.1175196514974708,6.102905674406745,0.07340593230898654,0.10290567440674536,20.0,0.16036790355629452,0.2963994644839522,0.0026672974065221657,0.009201159693341232,0.009124478302319439,0.009201159693341232,0.008381395538105086,1.3671567014645332,0.017535017673878585,1.1031326051917567,0.013569065945276198,0.060218402019571564,0.0007776232764450687,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
euler_maruyama,32,0.0003125,no_feedback,0.01,float64,ok,,64000,20.0,24.276650635758415,272.8319416139857,2.4010094321029376,1.5406986926891943,0,0,0,6.688420605648084,0.08083627119268172,0.6884206056480844,6.539579033405626,0.07460273511373947,0.5395790334056256,6.072715533947975,0.0730248387203561,0.07271553394797525,20.0,0.07848530832236439,0.14410286326507485,0.0012912013425752686,0.004546357444983329,0.004518533577388517,0.004546357444983329,0.004133393834591079,0.6442837152783959,0.008264228478108607,0.5251919870999077,0.006462318708500897,0.030028261560806273,0.0003878200684930578,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
euler_maruyama,64,0.00015625,no_feedback,0.01,float64,ok,,128000,20.0,45.63925167080015,322.3806335509871,2.4010553341642855,1.540738359249468,0,0,0,6.356993662586495,0.07668058488547327,0.3569936625864951,6.270731066335047,0.07137594052013405,0.2707310663350473,6.057679076311897,0.07283533618027473,0.057679076311896615,20.0,0.038828710208290824,0.07105564519184446,0.0006357104667409132,0.002259801528229133,0.002248469447549084,0.002259801528229133,0.002052581535333921,0.3128567722168026,0.004015716404776787,0.2563440200293364,0.0031529059383248936,0.014991803924723582,0.0001938400207273893,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
platen,1,0.01,no_feedback,0.01,float64,ok,,2000,20.0,2.341272915917216,223.18192258899217,2.4010999714219934,1.540806697255278,0,0,0,6.056744296174234,0.072738566642628,0.05674429617423371,6.023845866876904,0.06832773103682051,0.023845866876904154,6.042944601312517,0.07268163687697045,0.04294460131251743,20.0,0.048627232729666306,0.07549729121395654,0.0011551636957729007,0.004130992766654629,0.004130992766654629,0.004095311354332942,0.0041001527041922,0.01260740580454583,0.0016062532490388102,0.009458820571191623,0.0013486106887329553,0.0002573289253431797,0.00031905205330777926,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
platen,2,0.005,no_feedback,0.01,float64,ok,,4000,20.0,3.97688648357871,225.9435405129916,2.4010995934182913,1.5407851289710461,0,0,0,6.045793361059952,0.07274901803949681,0.04579336105995235,6.0154321069802785,0.06828883833815774,0.015432106980278526,6.042899760624652,0.07264893408141547,0.042899760624652394,20.0,0.018546403347746696,0.02451539218422638,0.00028871981819000007,0.0010318852324866512,0.0010318852324866512,0.0010232395160132413,0.0010241399333142664,0.0016564706902578079,0.000678027147775053,0.0010450606745616032,0.0006406529318168667,0.00021248823747977523,0.0001555025307608639,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
platen,4,0.0025,no_feedback,0.01,float64,ok,,8000,20.0,6.895214625139488,229.63370185901294,2.4010992907161643,1.5407797278405333,0,0,0,6.044296770035931,0.07275098223384091,0.04429677003593113,6.014689374411618,0.06831704634881307,0.014689374411617884,6.042728742155887,0.07264380552773135,0.04272874215588729,20.0,0.008369001617011084,0.009876985000759864,7.209725115925603e-05,0.00025753396238670234,0.00025753396238670234,0.0002554043830418351,0.000255691872536129,0.0001598796662367769,0.0003274365928151352,0.00030232810589886464,0.00031213432187024095,4.146976871636338e-05,7.741857426814298e-05,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
platen,8,0.00125,no_feedback,0.01,float64,ok,,16000,20.0,12.997601526702056,237.88989086900256,2.4010991873439442,1.5407783765223477,0,0,0,6.044447974245449,0.0727583835463576,0.04444797424544866,6.014465580168262,0.06830080651250933,0.014465580168262271,6.042719142064743,0.0726459117160189,0.04271914206474303,20.0,0.0040445467708100135,0.004584034739841702,1.7964917178858703e-05,6.414988547387424e-05,6.414988547387424e-05,6.362333971221545e-05,6.370346695100393e-05,0.00031108387575745356,0.00016977507214368113,7.853386254606058e-05,0.00015234277065584635,3.1869677572458105e-05,3.870426524576565e-05,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
platen,16,0.000625,no_feedback,0.01,float64,ok,,32000,20.0,25.45089231763268,253.7452254309901,2.4010991579527676,1.54077803857007,0,0,0,6.0441233548951585,0.0727599885783637,0.044123354895158506,6.01440331085947,0.0683028906381207,0.01440331085947033,6.042705232868581,0.07264625581322141,0.04270523286858108,20.0,0.001990770525736447,0.002228964213853906,4.437375269244754e-06,1.5842319611714117e-05,1.5842319611714117e-05,1.5718625705929412e-05,1.573365687188022e-05,-1.3535474531833492e-05,8.959747364600301e-05,1.6264553754615017e-05,6.834348956220534e-05,1.796048140276065e-05,2.0880185327905745e-05,candidate,True,0.0002174420899056454,1.8852491212584255e-07,True,,,,,,,,
platen,32,0.0003125,no_feedback,0.01,float64,ok,,64000,20.0,48.39314327790635,287.39335081598256,2.401099150156398,1.5407779540671027,0,0,0,6.044204891196905,0.07275467256454064,0.044204891196905294,6.014382470045039,0.06830552026536418,0.014382470045038787,6.0427004515041975,0.07264607827330545,0.042700451504197545,20.0,0.0009738962108706379,0.0010849776589609336,1.0563853211788777e-06,3.77116237881836e-06,3.77116237881836e-06,3.742468372536223e-06,3.7454842583828363e-06,6.800082721545377e-05,4.132726999757936e-05,-4.576260675775605e-06,3.566043820346385e-05,1.3179117023466657e-05,9.540272868884443e-06,candidate,True,0.0002174420899056454,1.8852491212584255e-07,False,,,,,,,,
platen,64,0.00015625,no_feedback,0.01,float64,ok,,128000,20.0,90.66604383196682,351.4249678530032,2.4010991481509145,1.5407779329395141,0,0,0,6.0441560017952405,0.07275601389051799,0.044156001795240485,6.014400871629055,0.06830355584915981,0.014400871629055345,6.042692781513381,0.07264622441970948,0.04269278151338085,20.0,0.00043379761884948395,0.00048387611541414894,2.1126373948041412e-07,7.54151480819587e-07,7.54151480819587e-07,7.484852480033055e-07,7.4903445254626e-07,1.9111425550648563e-05,1.7969224432566214e-05,1.3825323338679984e-05,1.684541647147897e-05,5.509126209082631e-06,4.303865202182687e-06,candidate,True,0.0002174420899056454,1.8852491212584255e-07,False,,,,,,,,
platen,128,7.8125e-05,modulation_minus,0.01,float64,ok,,256000,20.0,177.6290289348981,496.555190649,2.4706063066988313,1.4888429147097135,0,0,0,6.031655426951048,0.07084344070136268,,5.961292314825515,0.06856373592688568,,6.006748167223432,0.07211996295218134,,20.0,0.00020547453447292087,0.00022982190758051314,6.341567763757317e-08,2.3765679557641306e-07,2.3765679557641306e-07,2.1303797126392965e-07,2.2436263610869922e-07,-4.872760479693713e-06,8.800094799259961e-06,5.692846133120872e-06,7.784785452840784e-06,3.649431067380499e-06,2.104532171385388e-06,reference_halving_check,,,,,,,,,,,,
platen,256,3.90625e-05,modulation_minus,0.01,float64,ok,,512000,20.0,349.67362252867315,779.4215120439767,2.470606306191541,1.4888428948988681,0,0,0,6.031660299711528,0.07084406838721356,,5.96128662197938,0.06856353221989023,,6.006744517792364,0.07212013043712641,,,,,,,,,,,,,,,,finer_reference,,,,,,,,,,,,
euler_maruyama,1,0.01,modulation_minus,0.01,float64,nonfinite,11.85,1922,19.21,1.242499036132358,211.13409039800172,-1.8607071341967536e+137,,1280,3485440,6141440,6.966400583899618e+293,,,75.49478594762535,0.9289341077234284,,6.828701428611363,0.08139844774092611,,19.21,2.5335223749548327e+146,1.1107119280034137e+148,,2.5354036818132588e+297,2.5354036818132588e+297,1.1517064780461238e+297,1.7088127003291856e+297,6.966400583899618e+293,,69.56094581653262,0.866220546681933,0.874194199548018,0.011172358135397893,candidate,True,0.00020547453447292087,2.3765679557641306e-07,True,,,,,,,,
euler_maruyama,2,0.005,modulation_minus,0.01,float64,ok,,4000,20.0,2.0461663948372006,221.26610480199452,2.4171516015618235,1.3280757399039018,0,0,0,28.613545251515674,0.3583150200228263,,21.38320138247041,0.25686612916646984,,6.4495695212862,0.07769154038012131,,20.0,1.5280568179462344,3.0807329965483112,0.05686429540099439,0.19254776635927517,0.19254776635927517,0.1701980134727541,0.17405117345245993,22.581889824564627,0.2903950683353195,15.421909067644886,0.19082706161837112,0.44282135406276335,0.005700413343203311,candidate,True,0.00020547453447292087,2.3765679557641306e-07,True,,,,,,,,
euler_maruyama,4,0.0025,modulation_minus,0.01,float64,ok,,8000,20.0,3.4163592194672674,225.55401910300134,2.4682800490497936,1.4703802547249203,0,0,0,12.815370020218676,0.156631988366099,,11.082421289823307,0.13089057702528162,,6.223601744343703,0.07484792010256996,,20.0,0.6435379495195744,1.2328308340233651,0.016798017337075952,0.052101440070521754,0.052101440070521754,0.04676440791981218,0.04565852846790326,6.783714593267635,0.08708463125800284,5.1211289749977835,0.06345314056600766,0.2168535771202713,0.002789602751240261,candidate,True,0.00020547453447292087,2.3765679557641306e-07,True,,,,,,,,
