method,substeps,dt,scenario,delta,dtype,status,first_failure_time,completed_steps,completed_time,forward_seconds,diagnostic_wall_seconds,min_determinant,min_variance,nonfinite_modes,nonpositive_diagonals,uncertainty_violations,n_x,n_x_sem,heating_residual_x,n_y,n_y_sem,heating_residual_y,n_z,n_z_sem,heating_residual_z,comparison_time,trajectory_mean_rms,terminal_mean_rms,covariance_rms,covariance_max_abs,Vxx_max_abs,Vpp_max_abs,Cxp_max_abs,paired_n_x,paired_n_x_sem,paired_n_y,paired_n_y_sem,paired_n_z,paired_n_z_sem,role,reference_valid,reference_trajectory_mean_rms,reference_covariance_max_abs,trajectory_error_above_reference_floor,benchmark_status,bptt_duration,bptt_forward_seconds,backward_seconds,bptt_total_seconds,bptt_finite,peak_process_rss_bytes,peak_cuda_allocated_bytes
platen,128,7.8125e-05,no_feedback,1.0,float64,ok,,38400,3.0,5.225208326242864,8.222751624998637,18.507786155172198,4.199272298680137,0,0,0,5.102403744195677,0.19929887964590026,-0.04759625580432303,5.12597795080871,0.1326748548318513,-0.024022049191290584,5.253703424188148,0.25500619862647517,0.10370342418814804,3.0,0.0004899020609777565,0.0006214021939251191,1.1215609710566974e-06,4.273226786213891e-06,4.214657982615222e-06,4.194986826355773e-06,4.273226786213891e-06,8.172502751990884e-05,6.629107549627192e-05,-0.0001167572894066071,5.2847358205640575e-05,-3.199417038320273e-05,1.744519478347544e-05,reference_halving_check,,,,,,,,,,,,
platen,256,3.90625e-05,no_feedback,1.0,float64,ok,,76800,3.0,10.479757112683728,15.548518792027608,18.507786030007907,4.199272265485032,0,0,0,5.102322019168158,0.19930373101850474,-0.047677980831842603,5.126094708098116,0.13267322590325978,-0.023905291901884063,5.2537354183585325,0.2550108779327934,0.10373541835853217,,,,,,,,,,,,,,,finer_reference,,,,,,,,,,,,
euler_maruyama,1,0.01,no_feedback,1.0,float64,nonfinite,0.5,102,1.01,0.009021126199513674,0.3544599579181522,-139515142340608.0,-inf,80,9440,11120,6.0803974465869344e+277,inf,6.0803974465869344e+277,20.545491011332143,3.694468702872996,15.494991011332143,5.310000116385696,0.16065457888562315,0.2595001163856958,1.01,2.374070521665655e+138,2.397693695758212e+139,inf,1.2698001776469638e+280,1.2698001776469638e+280,3.3327239102489914e+279,6.50530046445393e+279,6.0803974465869344e+277,inf,15.547707788975767,3.6955685437408805,0.13401386590274902,0.009168092628579054,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,2,0.005,no_feedback,1.0,float64,nonfinite,0.9600000000000001,334,1.6600000000000001,0.02517503558192402,0.588202332961373,-5.2169698083459826e+19,-inf,80,17600,22800,6.480994228388919e+111,5.447376675458241e+111,6.480994228388919e+111,12.619443829331178,0.7848527417294721,7.536443829331178,5.411548172480576,0.20387119711674276,0.3285481724805761,1.6600000000000001,1.2500497537705625e+55,1.615420293956368e+56,7.15570657247808e+111,5.8107309992940125e+113,5.8107309992940125e+113,7.218183334064398e+112,2.047997110784959e+113,6.480994228388919e+111,5.447376675458241e+111,7.5904004147741535,0.721117602194729,0.16032202381801763,0.011135177024712464,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,4,0.0025,no_feedback,1.0,float64,covariance_failure,2.0175,1200,3.0,0.0826707761734724,1.1065034590428695,-3243.350120374989,-71.9897954850284,0,35520,49760,25.55014469649403,2.2010199973735403,20.40014469649403,14.849188334770153,0.7815064388902013,9.699188334770152,5.46562583482991,0.26823645856085887,0.3156258348299099,3.0,1.4631742285316618,3.724457440604776,2.7074898136725416,75.86243726564754,75.86243726564754,53.40483130858141,53.719159829830936,20.44774095229835,2.087523968875486,9.723210383961442,0.6992267762891896,0.21192241064176193,0.014110744701063355,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,8,0.00125,no_feedback,1.0,float64,ok,,2400,3.0,0.16231932677328587,1.280118334107101,17.66641444703991,3.488511579607057,0,0,0,8.779741242139336,0.4875133319383186,3.6297412421393354,7.774223869962933,0.2849232416988179,2.6242238699629326,5.356644685770637,0.26153463885710093,0.20664468577063655,3.0,0.5137065445109743,1.0649611072911918,0.08651181881296928,0.8208069321774688,0.8176938801704852,0.7844121426550297,0.8208069321774688,3.677337497943658,0.33386850968442106,2.6482459191542236,0.17974171706248177,0.10294126158248854,0.006966863339714829,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,16,0.000625,no_feedback,1.0,float64,ok,,4800,3.0,0.31680103938560933,1.5332812500419095,18.485188701218732,4.197434538263376,0,0,0,6.397292804737161,0.28857748117649556,1.2472928047371603,6.145081551664555,0.1834179982527218,0.9950815516645548,5.30445309429184,0.2582075778673283,0.1544530942918394,3.0,0.2239698183785807,0.4463616122207677,0.020189755410392016,0.10743972762139473,0.10652632892623792,0.10464376829146982,0.10743972762139473,1.2948890605414833,0.1108214623614595,1.0191036008558467,0.06592677341417257,0.050749670103691476,0.0034371876737049755,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,32,0.0003125,no_feedback,1.0,float64,ok,,9600,3.0,0.627865219139494,2.0946203749626875,18.50277201793514,4.1983553423589175,0,0,0,5.65755376898718,0.23537393682056135,0.5075537689871794,5.578653266973171,0.15323820912823205,0.4286532669731704,5.27896116561315,0.25660119939629084,0.1289611656131493,3.0,0.10510610613994736,0.20565397233478078,0.007795270247067289,0.02998329593750857,0.029945811306074432,0.029897363083038364,0.02998329593750857,0.5551500247915024,0.04618706199848267,0.45267531616446177,0.028431412626655436,0.02525774142500041,0.0017062990756903848,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,64,0.00015625,no_feedback,1.0,float64,ok,,19200,3.0,1.243247860809788,3.2236325840931386,18.505549879394216,4.198814282200445,0,0,0,5.36085126905212,0.21572859765038682,0.21085126905212004,5.339854492540621,0.1420121005624762,0.18985449254062026,5.26626194331204,0.25580090099936614,0.11626194331203976,3.0,0.05096862434380802,0.09885668924981872,0.0035053605564801475,0.011686258785210235,0.011663879769186813,0.011686258785210235,0.011502765848248293,0.2584475248564438,0.02127966657675543,0.2138765417319104,0.013271479793744776,0.012558519123891866,0.0008465920391836547,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
platen,1,0.01,no_feedback,1.0,float64,ok,,300,3.0,0.04469029256142676,1.011997291003354,18.498365258073648,4.199995213480463,0,0,0,5.3407266187786275,0.22027026673366923,0.19072661877862718,5.258541612321826,0.14285285346330537,0.10854161232182591,5.257302521372887,0.2551519462649988,0.10730252137288687,3.0,0.22743655539032548,0.4286563739371198,0.02634787101260058,0.10712018651666762,0.10707359328454569,0.10703702115318503,0.10712018651666762,0.2383228745829493,0.02743100261100798,0.1325636615131185,0.021216490097783675,0.0035990971847401094,0.0018506364269112027,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
